,N,mean,median,q1,q3,range,variance,std,iqr,mad,cv,mad/median,iqr/median,variable,group
1,1532,13.6,13.0,10.0,18.0,23.0,22.63,4.76,8.0,5.93,0.35,0.46,0.62,time,compra / venta >> joyas/relojes
0,402,11330.53,10.0,2.0,70.0,1234119.95,5129073038.34,71617.55,68.0,13.34,6.32,1.33,6.8,price,compra / venta >> libros/revistas
1,402,12.98,12.0,9.0,17.0,23.0,31.8,5.64,8.0,4.45,0.43,0.37,0.67,time,compra / venta >> libros/revistas
0,1212,93130.53,70.0,5.0,122.5,111110999.0,10178571515705.43,3190387.36,117.5,96.37,34.26,1.38,1.68,price,compra / venta >> mascotas/animales
1,1212,13.12,13.0,9.0,18.0,23.0,32.45,5.7,9.0,5.93,0.43,0.46,0.69,time,compra / venta >> mascotas/animales
0,1300,342212.21,90.0,25.0,200.0,333332999.3,94849473271952.7,9739069.43,175.0,108.23,28.46,1.2,1.94,price,compra / venta >> muebles/decoración
1,1300,12.72,12.0,9.0,16.0,23.0,18.99,4.36,7.0,4.45,0.34,0.37,0.58,time,compra / venta >> muebles/decoración
0,1355,567.34,30.0,9.0,110.0,189999.95,65774108.56,8110.12,101.0,41.51,14.29,1.38,3.37,price,compra / venta >> otros
1,1355,12.91,13.0,10.0,16.0,23.0,17.82,4.22,6.0,4.45,0.33,0.34,0.46,time,compra / venta >> otros
0,1087,1852459.18,120.0,30.0,300.0,999999999.9,1836610450896743.2,42855693.33,270.0,155.67,23.13,1.3,2.25,price,compra / venta >> reproductor dvd/vcd/dvr
1,1087,13.42,13.0,9.0,18.0,23.0,32.16,5.67,9.0,5.93,0.42,0.46,0.69,time,compra / venta >> reproductor dvd/vcd/dvr
0,1678,8131.07,100.0,30.0,220.0,11111099.0,74853951491.46,273594.5,190.0,118.61,33.65,1.19,1.9,price,compra / venta >> reproductor mp3/mp4/ipod
1,1678,13.73,14.0,10.0,18.0,23.0,26.32,5.13,8.0,5.93,0.37,0.42,0.57,time,compra / venta >> reproductor mp3/mp4/ipod
0,1548,2009832312.45,18.0,8.0,35.0,777777999999.95,1.5591094624281507e+21,39485560176.2,27.0,17.79,19.65,0.99,1.5,price,compra / venta >> ropa/zapato/accesorios
1,1548,14.04,14.0,11.0,17.0,23.0,11.45,3.38,6.0,4.45,0.24,0.32,0.43,time,compra / venta >> ropa/zapato/accesorios
0,708,1.4124420905541222e+16,100.0,30.0,220.0,1e+19,1.4104343859863111e+35,3.755575037176479e+17,190.0,118.61,26.59,1.19,1.9,price,compra / venta >> satélite
1,708,13.4,13.0,10.0,17.0,23.0,31.05,5.57,7.0,5.93,0.42,0.46,0.54,time,compra / venta >> satélite
0,1469,6807351946903251.0,370.0,80.0,800.0,1e+19,6.802717936042401e+34,2.6082020504635757e+17,720.0,489.26,38.31,1.32,1.95,price,compra / venta >> televisor
1,1469,13.26,14.0,10.0,17.0,23.0,18.38,4.29,7.0,4.45,0.32,0.32,0.5,time,compra / venta >> televisor
0,967,11921524.34,35.0,25.0,75.0,11111099999.99,1.2756667621696885e+17,357164774.6,50.0,29.65,29.96,0.85,1.43,price,computadoras >> backup/ups
1,967,12.6,12.0,10.0,16.0,23.0,22.9,4.78,6.0,4.45,0.38,0.37,0.5,time,computadoras >> backup/ups
0,697,55.15,0.5,0.38,23.0,11110.9,226387.31,475.8,22.62,0.22,8.63,0.44,45.24,price,computadoras >> cd/dvd virgen
1,697,10.88,10.0,9.0,12.0,23.0,12.87,3.59,3.0,1.48,0.33,0.15,0.3,time,computadoras >> cd/dvd virgen
0,1717,102.48,90.0,45.0,135.0,1399.0,9308.23,96.48,90.0,66.72,0.94,0.74,1.0,price,computadoras >> chasis/fuente
1,1717,14.77,15.0,12.0,18.0,23.0,19.75,4.44,6.0,4.45,0.3,0.3,0.4,time,computadoras >> chasis/fuente
0,2048,4883009.67,70.0,50.0,100.0,9999999999.5,4.880428122870279e+16,220916910.24,50.0,37.06,45.24,0.53,0.71,price,computadoras >> disco duro interno/externo
1,2048,14.78,15.0,12.0,18.0,23.0,18.87,4.34,6.0,4.45,0.29,0.3,0.4,time,computadoras >> disco duro interno/externo
0,1261,238.33,48.0,25.0,140.0,111110.5,9867417.92,3141.24,115.0,56.34,13.18,1.17,2.4,price,computadoras >> impresora/cartuchos
1,1261,13.09,12.0,9.0,17.0,23.0,20.52,4.53,8.0,5.93,0.35,0.49,0.67,time,computadoras >> impresora/cartuchos
0,586,3830061.4,40.0,10.0,130.0,1111109999.99,4199247559857234.0,64801601.52,120.0,57.82,16.92,1.45,3.0,price,computadoras >> internet/email
1,586,12.83,13.0,10.0,16.0,23.0,28.38,5.33,6.0,4.45,0.42,0.34,0.46,time,computadoras >> internet/email
0,870,114942669696.46,300.0,115.0,450.0,99999999999999.5,1.1481041056260597e+25,3388368494756.82,335.0,252.04,29.48,0.84,1.12,price,computadoras >> laptop
1,870,13.84,14.0,10.0,18.0,23.0,27.45,5.24,8.0,5.93,0.38,0.42,0.57,time,computadoras >> laptop
0,100,100001057.19,35.0,10.0,130.0,9999999999.0,9.899997886614867e+17,994987330.91,120.0,45.37,9.95,1.3,3.43,price,computadoras >> memoria ram/flash
1,100,12.66,13.0,9.0,16.0,22.0,21.42,4.63,7.0,4.45,0.37,0.34,0.54,time,computadoras >> memoria ram/flash
0,607,779646.37,5.0,1.0,100.0,399999999.99,268722938022269.1,16392770.91,99.0,5.93,21.03,1.19,19.8,price,empleos >> busco empleo
1,607,13.14,13.0,10.0,17.0,23.0,32.67,5.72,7.0,5.93,0.43,0.46,0.54,time,empleos >> busco empleo
0,368,3322851.8,4.0,3.0,100.0,1111109999.75,3377304111297195.0,58114577.44,97.0,4.45,17.49,1.11,24.25,price,empleos >> ofertas de empleo
1,368,13.53,14.0,10.0,17.0,23.0,29.52,5.43,7.0,5.93,0.4,0.42,0.5,time,empleos >> ofertas de empleo
